season,week,voting_phase,method,total_contestants,judge_reversal,fan_reversal,judge_reversal_strength,fan_reversal_strength,judge_bottom_contestants,fan_bottom_contestants,eliminated_contestants,judge_reversal_numeric,fan_reversal_numeric,power_struggle_index
4,5,percentage_regular,percentage,8,False,False,0.0,0.0,Clyde Drexler,Clyde Drexler,Clyde Drexler,0,0,0
4,6,percentage_regular,percentage,7,True,True,0.14285714285714285,0.14285714285714285,John Ratzenberger,John Ratzenberger,Heather Mills,1,1,0
4,7,percentage_regular,percentage,6,True,True,0.8333333333333334,0.6666666666666666,Billy Ray Cyrus,Ian Ziering,John Ratzenberger,1,1,0
4,8,percentage_regular,percentage,5,False,False,0.0,0.0,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,0,0,0
4,9,percentage_regular,percentage,4,False,False,0.0,0.0,Ian Ziering,Ian Ziering,Ian Ziering,0,0,0
4,10,percentage_regular,percentage,3,False,False,0.0,0.0,Laila Ali,Joey Fatone,"Laila Ali, Apolo Anton Ohno, Joey Fatone",0,0,0
5,1,percentage_regular,percentage,12,False,False,0.0,0.0,Josie Maran,Josie Maran,Josie Maran,0,0,0
5,2,percentage_regular,percentage,11,True,True,0.09090909090909091,0.09090909090909091,Wayne Newton,Wayne Newton,Albert Reed,1,1,0
5,3,percentage_regular,percentage,10,False,True,0.0,0.2,Wayne Newton,Mark Cuban,Wayne Newton,0,1,-1
5,4,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Mark Cuban,Mark Cuban,Floyd Mayweather Jr. ,1,1,0
5,5,percentage_regular,percentage,8,True,True,0.125,0.25,"Marie Osmond, Mark Cuban",Marie Osmond,Mark Cuban,1,1,0
5,6,percentage_regular,percentage,7,True,True,0.2857142857142857,0.2857142857142857,Jane Seymour,Marie Osmond,Sabrina Bryan,1,1,0
5,7,percentage_regular,percentage,6,False,True,0.0,0.8333333333333334,Jane Seymour,Jennie Garth,Jane Seymour,0,1,-1
5,8,percentage_regular,percentage,5,True,True,0.2,0.2,Marie Osmond,Marie Osmond,Cameron Mathison,1,1,0
5,9,percentage_regular,percentage,4,True,True,0.25,0.25,Marie Osmond,Marie Osmond,Jennie Garth,1,1,0
5,10,percentage_regular,percentage,3,False,False,0.0,0.0,Marie Osmond,Helio Castroneves,"Helio Castroneves, Mel B, Marie Osmond",0,0,0
6,2,percentage_regular,percentage,12,False,False,0.0,0.0,Monica Seles,Penn Jillette,"Monica Seles, Penn Jillette",0,0,0
6,3,percentage_regular,percentage,10,True,True,0.8,0.4,Marissa Jaret Winokur,Marlee Matlin,Steve Guttenberg,1,1,0
6,4,percentage_regular,percentage,9,False,False,0.0,0.0,Adam Carolla,Adam Carolla,Adam Carolla,0,0,0
6,5,percentage_regular,percentage,8,False,True,0.0,0.625,Priscilla Presley,Marissa Jaret Winokur,Priscilla Presley,0,1,-1
6,6,percentage_regular,percentage,7,False,True,0.0,0.42857142857142855,Marlee Matlin,Shannon Elizabeth,Marlee Matlin,0,1,-1
6,7,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,Cristian de la Fuente,Cristian de la Fuente,Shannon Elizabeth,1,1,0
6,8,percentage_regular,percentage,5,True,True,0.4,0.4,Marissa Jaret Winokur,Jason Taylor,Mario,1,1,0
6,9,percentage_regular,percentage,4,False,True,0.0,0.75,Marissa Jaret Winokur,Cristian de la Fuente,Marissa Jaret Winokur,0,1,-1
6,10,percentage_regular,percentage,3,False,False,0.0,0.0,Cristian de la Fuente,Cristian de la Fuente,"Cristian de la Fuente, Jason Taylor, Kristi Yamaguchi",0,0,0
7,1,percentage_regular,percentage,13,False,False,0.0,0.0,Jeffrey Ross,Jeffrey Ross,"Ted McGinley, Jeffrey Ross",0,0,0
7,2,percentage_regular,percentage,11,True,True,0.18181818181818182,0.18181818181818182,Cloris Leachman,Rocco DiSpirito,"Misty May-Treanor, Kim Kardashian",1,1,0
7,4,percentage_regular,percentage,9,False,True,0.0,0.2222222222222222,Rocco DiSpirito,Maurice Greene,Rocco DiSpirito,0,1,-1
7,5,percentage_regular,percentage,8,True,True,0.375,0.25,"Cloris Leachman, Lance Bass",Cloris Leachman,Toni Braxton,1,1,0
7,6,percentage_regular,percentage,7,False,False,0.0,0.0,Cloris Leachman,Cloris Leachman,Cloris Leachman,0,0,0
7,7,percentage_regular,percentage,6,True,True,0.5,0.3333333333333333,Warren Sapp,Cody Linley,Susan Lucci,1,1,0
7,8,percentage_regular,percentage,5,True,True,0.6,1.0,"Cody Linley, Maurice Greene",Brooke Burke,Maurice Greene,1,1,0
7,9,percentage_regular,percentage,4,False,True,0.0,0.75,Cody Linley,Warren Sapp,Cody Linley,0,1,-1
7,10,percentage_regular,percentage,3,False,False,0.0,0.0,"Warren Sapp, Lance Bass",Brooke Burke,"Warren Sapp, Lance Bass, Brooke Burke",0,0,0
8,2,percentage_regular,percentage,13,True,True,0.07692307692307693,0.07692307692307693,Steve-O,Steve-O,Belinda Carlisle,1,1,0
8,3,percentage_regular,percentage,12,True,True,0.08333333333333333,0.08333333333333333,Steve Wozniak,Steve Wozniak,Denise Richards,1,1,0
8,4,percentage_regular,percentage,11,False,False,0.0,0.0,Steve Wozniak,Steve Wozniak,"Steve Wozniak, Holly Madison",0,0,0
8,5,percentage_regular,percentage,9,True,True,0.5555555555555556,0.2222222222222222,Steve-O,Lawrence Taylor,David Alan Grier,1,1,0
8,6,percentage_regular,percentage,8,False,True,0.0,0.25,Steve-O,Ty Murray,Steve-O,0,1,-1
8,7,percentage_regular,percentage,7,False,False,0.0,0.0,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,0,0,0
8,8,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,Melissa Rycroft,Melissa Rycroft,Chuck Wicks,1,1,0
8,9,percentage_regular,percentage,5,True,False,0.4,0.0,Ty Murray,Lil' Kim,Lil' Kim,1,0,1
8,10,percentage_regular,percentage,4,False,True,0.0,0.75,Ty Murray,Shawn Johnson,Ty Murray,0,1,-1
9,1,percentage_regular,percentage,16,False,True,0.0,0.1875,"Ashley Hamiliton, Macy Gray",Michael Irvin,"Ashley Hamiliton, Macy Gray",0,1,-1
9,2,percentage_regular,percentage,14,True,True,0.07142857142857142,0.07142857142857142,"Kathy Ireland, Tom DeLay",Tom DeLay,Kathy Ireland,1,1,0
9,3,percentage_regular,percentage,13,True,True,0.07692307692307693,0.07692307692307693,Michael Irvin,Michael Irvin,"Debi Mazar, Tom DeLay",1,1,0
9,4,percentage_regular,percentage,11,True,False,0.36363636363636365,0.0,"Louie Vito, Michael Irvin",Chuck Liddell,Chuck Liddell,1,0,1
9,5,percentage_regular,percentage,10,True,True,0.1,0.1,Michael Irvin,Michael Irvin,Natalie Coughlin,1,1,0
9,6,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Michael Irvin,Michael Irvin,"Melissa Joan Hart, Louie Vito",1,1,0
9,7,percentage_regular,percentage,7,False,True,0.0,0.8571428571428571,Mark Dacascos,Aaron Carter,"Mark Dacascos, Michael Irvin",0,1,-1
9,8,percentage_regular,percentage,5,True,False,0.6,0.0,"Aaron Carter, Donny Osmond",Aaron Carter,Aaron Carter,1,0,1
9,9,percentage_regular,percentage,4,True,False,1.0,0.0,Donny Osmond,Joanna Krupa,Joanna Krupa,1,0,1
9,10,percentage_regular,percentage,3,False,False,0.0,0.0,Kelly Osbourne,Kelly Osbourne,"Mya, Donny Osmond, Kelly Osbourne",0,0,0
10,2,percentage_regular,percentage,11,True,True,0.09090909090909091,0.09090909090909091,Buzz Aldrin,Buzz Aldrin,Shannen Doherty,1,1,0
10,3,percentage_regular,percentage,10,False,False,0.0,0.0,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,0,0,0
10,4,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Kate Gosselin,Kate Gosselin,Aiden Turner,1,1,0
10,5,percentage_regular,percentage,8,False,True,0.0,0.5,Kate Gosselin,Pamela Anderson,Kate Gosselin,0,1,-1
10,6,percentage_regular,percentage,7,False,True,0.0,0.42857142857142855,Jake Pavelka,Evan Lysacek,Jake Pavelka,0,1,-1
10,7,percentage_regular,percentage,6,True,True,0.6666666666666666,0.3333333333333333,Niecy Nash,Erin Andrews,Pamela Anderson,1,1,0
10,8,percentage_regular,percentage,5,False,False,0.0,0.0,Niecy Nash,Niecy Nash,Niecy Nash,0,0,0
10,9,percentage_regular,percentage,4,False,False,0.0,0.0,Chad Ochocinco,Chad Ochocinco,Chad Ochocinco,0,0,0
10,10,percentage_regular,percentage,3,False,False,0.0,0.0,Evan Lysacek,Erin Andrews,"Evan Lysacek, Nicole Scherzinger, Erin Andrews",0,0,0
11,1,percentage_regular,percentage,12,True,True,0.25,0.16666666666666666,"David Hasselhoff, Margaret Cho, The Situation",Margaret Cho,David Hasselhoff,1,1,0
11,2,percentage_regular,percentage,11,False,False,0.0,0.0,Michael Bolton,Michael Bolton,Michael Bolton,0,0,0
11,3,percentage_regular,percentage,10,False,False,0.0,0.0,Margaret Cho,Margaret Cho,Margaret Cho,0,0,0
11,4,percentage_regular,percentage,9,False,True,0.0,0.3333333333333333,The Situation,Kurt Warner,The Situation,0,1,-1
11,5,percentage_regular,percentage,8,True,True,0.125,0.125,Bristol Palin,Bristol Palin,Florence Henderson,1,1,0
11,6,percentage_regular,percentage,7,True,True,0.2857142857142857,0.42857142857142855,Kurt Warner,Jennifer Grey,Audrina Patridge,1,1,0
11,7,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,Bristol Palin,Bristol Palin,Rick Fox,1,1,0
11,8,percentage_regular,percentage,5,True,False,0.4,0.0,Bristol Palin,Kurt Warner,Kurt Warner,1,0,1
11,9,percentage_regular,percentage,4,True,True,0.25,0.25,Bristol Palin,Bristol Palin,Brandy,1,1,0
11,10,percentage_regular,percentage,3,False,False,0.0,0.0,Bristol Palin,Bristol Palin,"Kyle Massey, Jennifer Grey, Bristol Palin",0,0,0
12,2,percentage_regular,percentage,11,True,True,0.36363636363636365,0.09090909090909091,"Sugar Ray Leonard, Mike Catherwood, Wendy Williams",Wendy Williams,Mike Catherwood,1,1,0
12,3,percentage_regular,percentage,10,False,False,0.0,0.0,Wendy Williams,Wendy Williams,Wendy Williams,0,0,0
12,4,percentage_regular,percentage,9,True,True,0.2222222222222222,0.3333333333333333,Kendra Wilkinson,Kirstie Alley,Sugar Ray Leonard,1,1,0
12,5,percentage_regular,percentage,8,True,True,0.5,0.125,"Ralph Macchio, Petra Nemcova, Kendra Wilkinson",Kendra Wilkinson,Petra Nemcova,1,1,0
12,6,percentage_regular,percentage,7,False,True,0.0,0.7142857142857143,Chris Jericho,Hines Ward,Chris Jericho,0,1,-1
12,7,percentage_regular,percentage,6,True,True,1.0,0.8333333333333334,"Kirstie Alley, Romeo",Hines Ward,Kendra Wilkinson,1,1,0
12,8,percentage_regular,percentage,5,True,True,0.2,0.2,Ralph Macchio,Ralph Macchio,Romeo,1,1,0
12,9,percentage_regular,percentage,4,False,False,0.0,0.0,Ralph Macchio,Ralph Macchio,Ralph Macchio,0,0,0
12,10,percentage_regular,percentage,3,False,False,0.0,0.0,Kirstie Alley,Kirstie Alley,"Chelsea Kane, Kirstie Alley, Hines Ward",0,0,0
13,1,percentage_regular,percentage,12,False,True,0.0,0.16666666666666666,Metta World Peace (Ron),Elisabetta Canalis,Metta World Peace (Ron),0,1,-1
13,2,percentage_regular,percentage,11,True,True,0.45454545454545453,0.36363636363636365,Chaz Bono,Hope Solo,Elisabetta Canalis,1,1,0
13,3,percentage_regular,percentage,10,True,True,0.2,0.2,Chaz Bono,Nancy Grace,Kristin Cavallari,1,1,0
13,4,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Carson Kressley,Carson Kressley,Chynna Phillips,1,1,0
13,5,percentage_regular,percentage,8,False,False,0.0,0.0,Carson Kressley,Carson Kressley,Carson Kressley,0,0,0
13,6,percentage_regular,percentage,7,False,True,0.0,0.42857142857142855,Chaz Bono,Rob Kardashian,Chaz Bono,0,1,-1
13,7,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,Nancy Grace,Nancy Grace,David Arquette,1,1,0
13,8,percentage_regular,percentage,5,False,False,0.0,0.0,Nancy Grace,Nancy Grace,Nancy Grace,0,0,0
13,9,percentage_regular,percentage,4,False,False,0.0,0.0,Hope Solo,Hope Solo,Hope Solo,0,0,0
13,10,percentage_regular,percentage,3,False,False,0.0,0.0,Ricki Lake,J.R. Martinez,"Ricki Lake, J.R. Martinez, Rob Kardashian",0,0,0
14,2,percentage_regular,percentage,12,False,True,0.0,0.5,Martina Navratilova,Jaleel White,Martina Navratilova,0,1,-1
14,3,percentage_regular,percentage,11,True,True,0.36363636363636365,0.18181818181818182,"Jack Wagner, Sherri Sheperd, Melissa Gilbert, Gavin DeGraw, Gladys Knight",Gavin DeGraw,Jack Wagner,1,1,0
14,4,percentage_regular,percentage,10,True,False,0.3,0.0,Gladys Knight,Sherri Sheperd,Sherri Sheperd,1,0,1
14,5,percentage_regular,percentage,9,False,False,0.0,0.0,Gavin DeGraw,Gavin DeGraw,Gavin DeGraw,0,0,0
14,6,percentage_regular,percentage,8,False,False,0.0,0.0,Gladys Knight,Gladys Knight,Gladys Knight,0,0,0
14,7,percentage_regular,percentage,7,True,True,0.2857142857142857,0.8571428571428571,Melissa Gilbert,Katherine Jenkins,Jaleel White,1,1,0
14,8,percentage_regular,percentage,6,False,True,0.0,0.3333333333333333,Melissa Gilbert,Maria Menounos,"Roshon Fegan, Melissa Gilbert",0,1,-1
14,9,percentage_regular,percentage,4,True,True,0.25,0.25,Katherine Jenkins,Katherine Jenkins,Maria Menounos,1,1,0
14,10,percentage_regular,percentage,3,False,False,0.0,0.0,"William Levy, Donald Driver",Donald Driver,"William Levy, Donald Driver, Katherine Jenkins",0,0,0
15,1,percentage_regular,percentage,13,False,False,0.0,0.0,Pamela Anderson,Pamela Anderson,Pamela Anderson,0,0,0
15,2,percentage_regular,percentage,12,True,True,0.08333333333333333,0.08333333333333333,Bristol Palin,Bristol Palin,Joey Fatone,1,1,0
15,3,percentage_regular,percentage,11,True,True,0.09090909090909091,0.09090909090909091,Bristol Palin,Bristol Palin,"Helio Castroneves, Drew Lachey",1,1,0
15,4,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Kirstie Alley,Kirstie Alley,Bristol Palin,1,1,0
15,6,percentage_regular,percentage,8,True,True,0.375,0.5,Emmitt Smith,Gilles Marini,Sabrina Bryan,1,1,0
15,8,percentage_regular,percentage,7,False,True,0.0,0.5714285714285714,Kirstie Alley,Emmitt Smith,"Gilles Marini, Kirstie Alley",0,1,-1
15,9,percentage_regular,percentage,5,False,False,0.0,0.0,Emmitt Smith,Emmitt Smith,"Apolo Anton Ohno, Emmitt Smith",0,0,0
15,10,percentage_regular,percentage,3,False,False,0.0,0.0,Shawn Johnson,Kelly Monaco,"Kelly Monaco, Shawn Johnson, Melissa Rycroft",0,0,0
16,2,percentage_regular,percentage,12,False,False,0.0,0.0,Dorothy Hamill,Dorothy Hamill,Dorothy Hamill,0,0,0
16,3,percentage_regular,percentage,11,False,True,0.0,0.18181818181818182,Wynonna Judd,D. L. Hughley,Wynonna Judd,0,1,-1
16,4,percentage_regular,percentage,10,True,True,0.1,0.2,"Victor Ortiz, Lisa Vanderpump",Victor Ortiz,Lisa Vanderpump,1,1,0
16,5,percentage_regular,percentage,9,True,False,0.2222222222222222,0.0,"D. L. Hughley, Andy Dick",D. L. Hughley,D. L. Hughley,1,0,1
16,6,percentage_regular,percentage,8,False,True,0.0,0.5,Victor Ortiz,Sean Lowe,Victor Ortiz,0,1,-1
16,7,percentage_regular,percentage,7,False,False,0.0,0.0,Andy Dick,Andy Dick,Andy Dick,0,0,0
16,8,percentage_regular,percentage,6,False,True,0.0,0.3333333333333333,Sean Lowe,Ingo Rademacher,Sean Lowe,0,1,-1
16,9,percentage_regular,percentage,5,False,True,0.0,0.6,Ingo Rademacher,Kellie Pickler,Ingo Rademacher,0,1,-1
16,10,percentage_regular,percentage,4,False,False,0.0,0.0,Jacoby Jones,Alexandra Raisman,"Zendaya, Alexandra Raisman, Jacoby Jones, Kellie Pickler",0,0,0
17,2,percentage_regular,percentage,12,True,True,0.25,0.4166666666666667,Bill Nye,Bill Engvall,Keyshawn Johnson,1,1,0
17,3,percentage_regular,percentage,11,True,False,0.18181818181818182,0.0,"Valerie Harper, Bill Nye",Bill Nye,Bill Nye,1,0,1
17,4,percentage_regular,percentage,10,False,False,0.0,0.0,Valerie Harper,Valerie Harper,Valerie Harper,0,0,0
17,5,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Leah Remini,Leah Remini,Christina Milian,1,1,0
17,7,percentage_regular,percentage,8,True,True,0.25,0.25,Bill Engvall,Leah Remini,"Nicole ""Snooki"" Polizzi",1,1,0
17,8,percentage_regular,percentage,7,True,True,0.14285714285714285,0.14285714285714285,Bill Engvall,Bill Engvall,Brant Daugherty,1,1,0
17,9,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,Bill Engvall,Bill Engvall,Elizabeth Berkley Lauren,1,1,0
17,10,percentage_regular,percentage,5,True,True,0.2,0.2,Bill Engvall,Bill Engvall,Leah Remini,1,1,0
18,1,percentage_regular,percentage,12,True,True,0.08333333333333333,0.08333333333333333,Billy Dee Williams,Billy Dee Williams,Diana Nyad,1,1,0
18,2,percentage_regular,percentage,11,False,False,0.0,0.0,Billy Dee Williams,Billy Dee Williams,"Billy Dee Williams, Sean Avery",0,0,0
18,5,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Drew Carey,Drew Carey,Cody Simpson,1,1,0
18,6,percentage_regular,percentage,8,True,True,0.25,0.5,"Candace Cameron Bure, Drew Carey",James Maslow,Drew Carey,1,1,0
18,7,percentage_regular,percentage,7,False,True,0.0,0.2857142857142857,NeNe Leakes,James Maslow,NeNe Leakes,0,1,-1
18,8,percentage_regular,percentage,6,True,True,0.6666666666666666,0.16666666666666666,"James Maslow, Candace Cameron Bure, Meryl Davis",Meryl Davis,Danica McKellar,1,1,0
18,9,percentage_regular,percentage,5,True,True,0.6,0.6,Candace Cameron Bure,James Maslow,Charlie White,1,1,0
18,10,percentage_regular,percentage,4,False,False,0.0,0.0,Candace Cameron Bure,Amy Purdy,"James Maslow, Candace Cameron Bure, Amy Purdy, Meryl Davis",0,0,0
19,1,percentage_regular,percentage,13,True,True,0.07692307692307693,0.07692307692307693,Betsey Johnson,Betsey Johnson,Lolo Jones,1,1,0
19,2,percentage_regular,percentage,12,True,True,0.08333333333333333,0.08333333333333333,Michael Waltrip,Michael Waltrip,Tavis Smiley,1,1,0
19,3,percentage_regular,percentage,11,False,False,0.0,0.0,Randy Couture,Randy Couture,Randy Couture,0,0,0
19,4,percentage_regular,percentage,10,True,True,0.1,0.1,Jonathan Bennett,Jonathan Bennett,Betsey Johnson,1,1,0
19,6,percentage_regular,percentage,9,True,True,0.2222222222222222,0.1111111111111111,"Antonio Sabato Jr., Tommy Chong",Tommy Chong,Jonathan Bennett,1,1,0
19,7,percentage_regular,percentage,8,True,False,0.5,0.0,Michael Waltrip,Antonio Sabato Jr.,Antonio Sabato Jr.,1,0,1
19,8,percentage_regular,percentage,7,False,False,0.0,0.0,Michael Waltrip,Michael Waltrip,Michael Waltrip,0,0,0
19,9,percentage_regular,percentage,6,True,False,0.3333333333333333,0.0,Tommy Chong,Lea Thompson,Lea Thompson,1,0,1
19,10,percentage_regular,percentage,5,False,False,0.0,0.0,Tommy Chong,Tommy Chong,Tommy Chong,0,0,0
20,2,percentage_regular,percentage,12,True,True,0.08333333333333333,0.08333333333333333,Chris Soules,Chris Soules,Redfoo,1,1,0
20,3,percentage_regular,percentage,11,True,True,0.09090909090909091,0.09090909090909091,"Charlotte McKinney, Patti LaBelle",Patti LaBelle,Charlotte McKinney,1,1,0
20,4,percentage_regular,percentage,10,True,True,0.3,0.5,Chris Soules,Noah Galloway,Michael Sam,1,1,0
20,5,percentage_regular,percentage,9,True,True,0.1111111111111111,0.1111111111111111,Robert Herjavec,Robert Herjavec,Suzanne Somers,1,1,0
20,6,percentage_regular,percentage,8,True,False,0.375,0.0,Robert Herjavec,Patti LaBelle,Patti LaBelle,1,0,1
20,7,percentage_regular,percentage,7,True,True,0.2857142857142857,0.14285714285714285,"Robert Herjavec, Chris Soules",Chris Soules,Willow Shields,1,1,0
20,8,percentage_regular,percentage,6,False,True,0.0,0.3333333333333333,Robert Herjavec,Noah Galloway,"Robert Herjavec, Chris Soules",0,1,-1
20,9,percentage_regular,percentage,4,True,True,0.25,0.25,Noah Galloway,Noah Galloway,Nastia Liukin,1,1,0
20,10,percentage_regular,percentage,3,False,False,0.0,0.0,Noah Galloway,Noah Galloway,"Riker Lynch, Rumer Willis, Noah Galloway",0,0,0
21,2,percentage_regular,percentage,13,False,False,0.0,0.0,Chaka Khan,Chaka Khan,"Victor Espinoza, Chaka Khan, Kim Zolciak-Biermann",0,0,0
21,4,percentage_regular,percentage,10,False,False,0.0,0.0,Gary Busey,Gary Busey,Gary Busey,0,0,0
21,6,percentage_regular,percentage,9,False,False,0.0,0.0,Paula Deen,Paula Deen,Paula Deen,0,0,0
21,7,percentage_regular,percentage,8,True,True,0.125,0.125,Alek Skarlatos,Alek Skarlatos,Hayes Grier,1,1,0
21,8,percentage_regular,percentage,7,False,True,0.0,0.42857142857142855,Andy Grammer,Alexa PenaVega,Andy Grammer,0,1,-1
21,9,percentage_regular,percentage,6,False,False,0.0,0.0,Tamar Braxton,Tamar Braxton,"Alexa PenaVega, Tamar Braxton",0,0,0
22,2,percentage_regular,percentage,12,False,True,0.0,0.16666666666666666,Geraldo Rivera,Mischa Barton,Geraldo Rivera,0,1,-1
22,3,percentage_regular,percentage,11,False,False,0.0,0.0,Mischa Barton,Mischa Barton,Mischa Barton,0,0,0
22,4,percentage_regular,percentage,10,True,True,0.1,0.1,Doug Flutie,Doug Flutie,Marla Maples,1,1,0
22,6,percentage_regular,percentage,9,False,True,0.0,0.6666666666666666,Doug Flutie,Jodie Sweetin,Doug Flutie,0,1,-1
22,7,percentage_regular,percentage,8,True,False,0.5,0.0,Jodie Sweetin,Von Miller,"Kim Fields, Von Miller",1,0,1
22,8,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,Wanya Morris,Wanya Morris,Jodie Sweetin,1,1,0
22,9,percentage_regular,percentage,5,False,False,0.0,0.0,Antonio Brown,Wanya Morris,"Antonio Brown, Wanya Morris",0,0,0
22,10,percentage_regular,percentage,3,False,False,0.0,0.0,Ginger Zee,Nyle DiMarco,"Paige VanZant, Nyle DiMarco, Ginger Zee",0,0,0
23,2,percentage_regular,percentage,13,True,True,0.23076923076923078,0.23076923076923078,Rick Perry,Ryan Lochte,Jake T. Austin,1,1,0
23,3,percentage_regular,percentage,12,True,True,0.08333333333333333,0.08333333333333333,"Rick Perry, Vanilla Ice",Vanilla Ice,Rick Perry,1,1,0
23,4,percentage_regular,percentage,11,False,False,0.0,0.0,Babyface,Babyface,"Babyface, Vanilla Ice",0,0,0
23,6,percentage_regular,percentage,9,False,False,0.0,0.0,Amber Rose,Amber Rose,Amber Rose,0,0,0
23,7,percentage_regular,percentage,8,True,True,0.375,0.75,Marilu Henner,Laurie Hernandez,Maureen McCormick,1,1,0
23,8,percentage_regular,percentage,7,True,False,0.5714285714285714,0.0,Marilu Henner,Ryan Lochte,Ryan Lochte,1,0,1
23,9,percentage_regular,percentage,6,True,True,0.16666666666666666,0.16666666666666666,"Marilu Henner, James Hinchcliffe",James Hinchcliffe,Marilu Henner,1,1,0
